
2025/07/10 (11:54:59) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/07/10 (11:54:59) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2025/07/10 (11:56:43) | ===> btop++ v.1.3.0
2025/07/10 (11:56:43) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/07/10 (11:56:43) | WARNING: NVML: Failed to get GPU power usage: Not Supported
2025/07/10 (12:31:18) | WARNING: Failed to join _runner thread on exit!

2025/07/13 (23:07:51) | ===> btop++ v.1.3.0
2025/07/13 (23:07:51) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/07/13 (23:07:51) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2025/07/14 (08:06:23) | ===> btop++ v.1.3.0
2025/07/14 (08:06:23) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/07/14 (08:06:23) | WARNING: NVML: Failed to get GPU power usage: Not Supported
2025/07/14 (08:10:20) | WARNING: Failed to join _runner thread on exit!

2025/07/16 (13:53:53) | ===> btop++ v.1.3.0
2025/07/16 (13:53:53) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/07/16 (13:53:53) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2025/07/16 (21:09:34) | ===> btop++ v.1.3.0
2025/07/16 (21:09:34) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/07/16 (21:09:34) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2025/07/17 (13:52:14) | ===> btop++ v.1.3.0
2025/07/17 (13:52:14) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/07/17 (13:52:14) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2025/07/18 (19:52:36) | ===> btop++ v.1.3.0
2025/07/18 (19:52:36) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/07/18 (19:52:36) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2025/07/25 (08:12:57) | ===> btop++ v.1.3.0
2025/07/25 (08:12:57) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/07/25 (08:12:57) | WARNING: NVML: Failed to get GPU power usage: Not Supported
2025/07/25 (08:14:50) | WARNING: Failed to join _runner thread on exit!

2025/07/25 (09:20:26) | ===> btop++ v.1.3.0
2025/07/25 (09:20:26) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/07/25 (09:20:26) | WARNING: NVML: Failed to get GPU power usage: Not Supported
2025/07/25 (09:20:33) | WARNING: Failed to join _runner thread on exit!

2025/07/29 (10:18:58) | ===> btop++ v.1.3.2
2025/07/29 (10:18:58) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/07/29 (10:18:58) | WARNING: NVML: Failed to get GPU power usage: Not Supported
2025/07/29 (11:11:46) | ERROR: Stall in Runner thread, restarting!

2025/07/29 (13:55:29) | ===> btop++ v.1.3.2
2025/07/29 (13:55:29) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/07/29 (13:55:29) | WARNING: NVML: Failed to get GPU power usage: Not Supported
2025/07/29 (13:58:36) | WARNING: Failed to join _runner thread on exit!

2025/07/31 (11:46:04) | ===> btop++ v.1.3.2
2025/07/31 (11:46:04) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/07/31 (11:46:04) | WARNING: NVML: Failed to get GPU power usage: Not Supported
2025/07/31 (11:46:07) | WARNING: Failed to join _runner thread on exit!

2025/07/31 (11:49:10) | ===> btop++ v.1.3.2
2025/07/31 (11:49:10) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/07/31 (11:49:10) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2025/08/01 (11:10:35) | ===> btop++ v.1.3.2
2025/08/01 (11:10:35) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/08/01 (11:10:35) | WARNING: NVML: Failed to get GPU power usage: Not Supported
2025/08/01 (11:18:05) | WARNING: Failed to join _runner thread on exit!

2025/08/01 (11:19:46) | ===> btop++ v.1.3.2
2025/08/01 (11:19:46) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/08/01 (11:19:46) | WARNING: NVML: Failed to get GPU power usage: Not Supported
2025/08/01 (11:48:39) | WARNING: Failed to join _runner thread on exit!

2025/08/01 (13:38:15) | ===> btop++ v.1.3.2
2025/08/01 (13:38:15) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/08/01 (13:38:15) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2025/08/04 (10:34:21) | ===> btop++ v.1.3.2
2025/08/04 (10:34:21) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/08/04 (10:34:21) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2025/08/07 (13:33:31) | ===> btop++ v.1.3.2
2025/08/07 (13:33:31) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/08/07 (13:33:31) | WARNING: NVML: Failed to get GPU power usage: Not Supported
2025/08/07 (13:53:29) | WARNING: Failed to join _runner thread on exit!

